image,vrai_label,prediction,confiance,methode,yolo_classe,yolo_confiance,ocr_medicament,ocr_confiance,dosage,latence_s,correct
bruit_IMG-20260614-WA0071.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ORGALUTRON B/5 0.25MG/05ML,0.86,ocr_seul,?,0.0,ORGALUTRON B/5 0.25MG/05ML,0.86,?,0.83,False
orig_IMG-20260612-WA0120.jpg,PHOTOS MEDICAMENTS AUGMENTEES,NO-SPA,0.67,ocr_seul,BOX,0.471,NO-SPA,0.67,?,3.96,False
rot_WhatsApp Image 2026-06-12 at 15.06.53.jpeg,PHOTOS MEDICAMENTS AUGMENTEES,SK-F 12,0.57,ocr_fallback,?,0.0,SK-F 12,0.57,2 g,1.15,False
lum_IMG-20260612-WA0237.jpg,PHOTOS MEDICAMENTS AUGMENTEES,TOTHEMA,0.86,ocr_seul,?,0.0,TOTHEMA,0.86,25mg,1.08,False
rot_IMG-20260612-WA0257.jpg,PHOTOS MEDICAMENTS AUGMENTEES,DOLIPRANE,1.0,ocr_seul,BOX,0.468,DOLIPRANE,1.0,6/7780,4.37,False
rot_IMG-20260612-WA0133.jpg,PHOTOS MEDICAMENTS AUGMENTEES,UN-ALFA 1 ΜG,0.67,ocr_seul,?,0.0,UN-ALFA 1 ΜG,0.67,1 g,3.67,False
lum_IMG-20260614-WA0025.jpg,PHOTOS MEDICAMENTS AUGMENTEES,DIAPHARM,0.88,ocr_seul,?,0.0,DIAPHARM,0.88,100 ml,1.51,False
bruit_1781527998436.jpg,PHOTOS MEDICAMENTS AUGMENTEES,AZOLE 4%,1.0,ocr_seul,?,0.0,AZOLE 4%,1.0,?,6.43,False
orig_1781527998213.jpg,PHOTOS MEDICAMENTS AUGMENTEES,?,0.0,ocr_fallback,?,0.0,?,0.0,?,2.81,False
lum_IMG-20260612-WA0093.jpg,PHOTOS MEDICAMENTS AUGMENTEES,PECTRYL,1.0,ocr_seul,BOX,0.719,PECTRYL,1.0,150 ml,1.35,False
lum_IMG-20260612-WA0321.jpg,PHOTOS MEDICAMENTS AUGMENTEES,TOBREX COLLYRE,0.93,ocr_seul,BOX,0.705,TOBREX COLLYRE,0.93,"0,3 %",2.68,False
orig_1781527998145.jpg,PHOTOS MEDICAMENTS AUGMENTEES,FAZOL 2% CREME (E),0.56,ocr_fallback,?,0.0,FAZOL 2% CREME (E),0.56,?,3.71,False
orig_IMG-20260612-WA0282.jpg,PHOTOS MEDICAMENTS AUGMENTEES,DICETEL,0.86,ocr_seul,?,0.0,DICETEL,0.86,٧٨ mg,5.25,False
bruit_IMG-20260614-WA0005.jpg,PHOTOS MEDICAMENTS AUGMENTEES,?,0.0,ocr_fallback,?,0.0,?,0.0,?,0.68,False
bruit_IMG-20260612-WA0151.jpg,PHOTOS MEDICAMENTS AUGMENTEES,INSULINE MIXTARD 30 HM PENFILL,1.0,ocr_seul,?,0.0,INSULINE MIXTARD 30 HM PENFILL,1.0,?,0.73,False
lum_1781527998650.jpg,PHOTOS MEDICAMENTS AUGMENTEES,GLUCONATE DE CALCIUM 10 % PROAMP,0.71,ocr_seul,?,0.0,GLUCONATE DE CALCIUM 10 % PROAMP,0.71,?,3.46,False
orig_WhatsApp Image 2026-06-12 at 15.06.52 (1).jpeg,PHOTOS MEDICAMENTS AUGMENTEES,ISOLONE,1.0,ocr_seul,BOX,0.796,ISOLONE,1.0,20 mg,2.34,False
orig_1781527998821.jpg,PHOTOS MEDICAMENTS AUGMENTEES,SK-F 203,0.57,ocr_fallback,?,0.0,SK-F 203,0.57,9 g,4.43,False
bruit_IMG-20260612-WA0325.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ALGANTIL,1.0,ocr_seul,?,0.0,ALGANTIL,1.0,?,2.69,False
rot_1781527998319.jpg,PHOTOS MEDICAMENTS AUGMENTEES,CLAZEN XL 500MG B/7 (CC) (H),0.59,ocr_fallback,?,0.0,CLAZEN XL 500MG B/7 (CC) (H),0.59,?,4.9,False
lum_1781268752181.jpg,PHOTOS MEDICAMENTS AUGMENTEES,PULMOFLUIDE AD,0.86,ocr_seul,?,0.0,PULMOFLUIDE AD,0.86,150 ml,4.1,False
rot_IMG-20260614-WA0070.jpg,PHOTOS MEDICAMENTS AUGMENTEES,DOLI,0.86,ocr_seul,?,0.0,DOLI,0.86,?,0.98,False
bruit_IMG-20260614-WA0069.jpg,PHOTOS MEDICAMENTS AUGMENTEES,PRISDAL,0.77,ocr_seul,BOX,0.797,PRISDAL,0.77,?,0.78,False
rot_IMG-20260612-WA0132.jpg,PHOTOS MEDICAMENTS AUGMENTEES,PILO 2,0.67,ocr_seul,?,0.0,PILO 2,0.67,?,3.85,False
orig_IMG-20260614-WA0022.jpg,PHOTOS MEDICAMENTS AUGMENTEES,BIOTIC PLUS,0.73,ocr_seul,?,0.0,BIOTIC PLUS,0.73,?,1.0,False
bruit_1781527997344.jpg,PHOTOS MEDICAMENTS AUGMENTEES,?,0.0,ocr_fallback,?,0.0,?,0.0,?,3.35,False
bruit_1781527996781.jpg,PHOTOS MEDICAMENTS AUGMENTEES,?,0.0,ocr_fallback,?,0.0,?,0.0,?,3.65,False
orig_IMG-20260612-WA0074.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ARGO,1.0,ocr_seul,BOX,0.695,ARGO,1.0,?,1.52,False
orig_IMG-20260612-WA0073.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ASPEGIC 100MG B/20 STS N (P) (H) (CHC),0.64,ocr_seul,?,0.0,ASPEGIC 100MG B/20 STS N (P) (H) (CHC),0.64,?,0.94,False
rot_WhatsApp Image 2026-06-12 at 15.06.19 (5).jpeg,PHOTOS MEDICAMENTS AUGMENTEES,I3.1,0.67,ocr_seul,?,0.0,I3.1,0.67,?,1.05,False
orig_WhatsApp Image 2026-06-12 at 15.07.34 (10).jpeg,PHOTOS MEDICAMENTS AUGMENTEES,DOLI,1.0,ocr_seul,?,0.0,DOLI,1.0,2 g,0.87,False
lum_IMG-20260612-WA0259.jpg,PHOTOS MEDICAMENTS AUGMENTEES,DOLIPRANE,1.0,ocr_seul,BOX,0.377,DOLIPRANE,1.0,91 /9 /8,8.28,False
rot_1781527998404.jpg,PHOTOS MEDICAMENTS AUGMENTEES,?,0.0,ocr_fallback,?,0.0,?,0.0,?,2.92,False
rot_1781527999158.jpg,PHOTOS MEDICAMENTS AUGMENTEES,"TIM-87 0,25 %",0.77,ocr_seul,?,0.0,"TIM-87 0,25 %",0.77,?,3.65,False
lum_1781527997276.jpg,PHOTOS MEDICAMENTS AUGMENTEES,?,0.0,ocr_fallback,?,0.0,?,0.0,?,2.79,False
lum_IMG-20260614-WA0039.jpg,PHOTOS MEDICAMENTS AUGMENTEES,OLMETEC,0.86,ocr_seul,BOX,0.751,OLMETEC,0.86,?,1.21,False
bruit_IMG-20260612-WA0157.jpg,PHOTOS MEDICAMENTS AUGMENTEES,KARDEGIC,1.0,ocr_seul,?,0.0,KARDEGIC,1.0,751g,0.66,False
lum_WhatsApp Image 2026-06-12 at 15.07.34.jpeg,PHOTOS MEDICAMENTS AUGMENTEES,BIAFINE,0.67,ocr_seul,?,0.0,BIAFINE,0.67,?,0.91,False
orig_IMG-20260614-WA0009.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ASPEGIC 100MG B/20 STS N (P) (H) (CHC),0.61,ocr_seul,?,0.0,ASPEGIC 100MG B/20 STS N (P) (H) (CHC),0.61,?,1.16,False
bruit_WhatsApp Image 2026-06-12 at 15.07.45 (2).jpeg,PHOTOS MEDICAMENTS AUGMENTEES,NEOMOX,1.0,ocr_seul,?,0.0,NEOMOX,1.0,?,0.54,False
lum_1781527998870.jpg,PHOTOS MEDICAMENTS AUGMENTEES,LODOZ,0.8,ocr_seul,?,0.0,LODOZ,0.8,5 mg,4.12,False
rot_1781268752251.jpg,PHOTOS MEDICAMENTS AUGMENTEES,XENID,1.0,ocr_seul,BOX,0.817,XENID,1.0,02/28,1.52,False
orig_1781527997669.jpg,PHOTOS MEDICAMENTS AUGMENTEES,DR. YGLO,0.75,ocr_seul,?,0.0,DR. YGLO,0.75,?,3.18,False
rot_IMG-20260614-WA0065.jpg,PHOTOS MEDICAMENTS AUGMENTEES,I3.1,0.67,ocr_seul,BOX,0.38,I3.1,0.67,?,1.07,False
lum_1781527998319.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ICAM 5MG 7 CP (H),0.58,ocr_fallback,?,0.0,ICAM 5MG 7 CP (H),0.58,?,4.95,False
orig_1781527998111.jpg,PHOTOS MEDICAMENTS AUGMENTEES,I3.1,0.75,ocr_seul,?,0.0,I3.1,0.75,?,3.35,False
rot_IMG-20260612-WA0365.jpg,PHOTOS MEDICAMENTS AUGMENTEES,"BC-F 8,4%",0.62,ocr_seul,BOX,0.704,"BC-F 8,4%",0.62,?,4.2,False
orig_IMG-20260613-WA0050.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ASPEGIC 100MG B/20 STS N (P) (H) (CHC),0.62,ocr_seul,?,0.0,ASPEGIC 100MG B/20 STS N (P) (H) (CHC),0.62,?,1.16,False
bruit_IMG-20260612-WA0133.jpg,PHOTOS MEDICAMENTS AUGMENTEES,MAG 2,0.6,ocr_seul,?,0.0,MAG 2,0.6,8 g,4.52,False
bruit_1781527997522.jpg,PHOTOS MEDICAMENTS AUGMENTEES,D-CURE,0.62,ocr_seul,?,0.0,D-CURE,0.62,?,3.78,False
rot_IMG-20260614-WA0050.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ZOMETA,0.83,ocr_seul,?,0.0,ZOMETA,0.83,50/9,1.57,False
bruit_IMG-20260612-WA0323.jpg,PHOTOS MEDICAMENTS AUGMENTEES,DOXINE,1.0,ocr_seul,?,0.0,DOXINE,1.0,7626/2020/0,6.05,False
bruit_WhatsApp Image 2026-06-12 at 15.07.34 (2).jpeg,PHOTOS MEDICAMENTS AUGMENTEES,ALFACEFAL 125 MG/5 ML,1.0,ocr_seul,?,0.0,ALFACEFAL 125 MG/5 ML,1.0,?,0.78,False
bruit_IMG-20260612-WA0024(1).jpg,PHOTOS MEDICAMENTS AUGMENTEES,SOCLAV,1.0,ocr_seul,?,0.0,SOCLAV,1.0,?,1.07,False
orig_WhatsApp Image 2026-06-12 at 15.07.35 (1).jpeg,PHOTOS MEDICAMENTS AUGMENTEES,KARDEGIC 75MG,1.0,ocr_seul,?,0.0,KARDEGIC 75MG,1.0,75mg,0.88,False
lum_1781527998501.jpg,PHOTOS MEDICAMENTS AUGMENTEES,AVIRO-Z,0.8,ocr_seul,?,0.0,AVIRO-Z,0.8,?,3.26,False
orig_1781527997008.jpg,PHOTOS MEDICAMENTS AUGMENTEES,VENTOLINE,0.89,ocr_seul,?,0.0,VENTOLINE,0.89,?,3.45,False
rot_IMG-20260614-WA0025.jpg,PHOTOS MEDICAMENTS AUGMENTEES,MOBIC,0.8,ocr_seul,?,0.0,MOBIC,0.8,?,1.72,False
orig_IMG-20260614-WA0073.jpg,PHOTOS MEDICAMENTS AUGMENTEES,CALPOL,0.83,ocr_seul,BOX,0.678,CALPOL,0.83,25mg,1.96,False
bruit_1781527998551.jpg,PHOTOS MEDICAMENTS AUGMENTEES,CHLORURE DE SODIUM 0.9%,0.67,ocr_seul,?,0.0,CHLORURE DE SODIUM 0.9%,0.67,?,4.49,False
rot_1781268752368.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ISOLONE,1.0,ocr_seul,BOX,0.785,ISOLONE,1.0,20 mg,1.1,False
rot_1781268751710.jpg,PHOTOS MEDICAMENTS AUGMENTEES,I3.1,0.67,ocr_seul,?,0.0,I3.1,0.67,?,3.08,False
rot_1781527998357.jpg,PHOTOS MEDICAMENTS AUGMENTEES,RAMIPRIL/HYDROCHLOROTHIAZIDE GT 2.5 MG/12.5 MG,0.67,ocr_seul,?,0.0,RAMIPRIL/HYDROCHLOROTHIAZIDE GT 2.5 MG/12.5 MG,0.67,?,3.87,False
orig_WhatsApp Image 2026-06-12 at 15.07.34 (5).jpeg,PHOTOS MEDICAMENTS AUGMENTEES,CRISTAL,1.0,ocr_seul,BOX,0.715,CRISTAL,1.0,156/16,3.15,False
rot_1781527999142.jpg,PHOTOS MEDICAMENTS AUGMENTEES,?,0.0,ocr_fallback,?,0.0,?,0.0,?,2.82,False
orig_1781527998162.jpg,PHOTOS MEDICAMENTS AUGMENTEES,"TUBERCULINE 2 UT / 0,1ML",0.67,ocr_seul,?,0.0,"TUBERCULINE 2 UT / 0,1ML",0.67,?,3.27,False
lum_1781527999222.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ASPRO,0.8,ocr_seul,?,0.0,ASPRO,0.8,5 mg,3.97,False
bruit_WhatsApp Image 2026-06-12 at 15.06.19 (3).jpeg,PHOTOS MEDICAMENTS AUGMENTEES,AVAMYS 27.5 ΜG/PULVERISATION,1.0,ocr_seul,?,0.0,AVAMYS 27.5 ΜG/PULVERISATION,1.0,?,1.57,False
rot_1781527997610.jpg,PHOTOS MEDICAMENTS AUGMENTEES,STALORAL DPTE/DFAR (075201E) 300IR,1.0,ocr_seul,?,0.0,STALORAL DPTE/DFAR (075201E) 300IR,1.0,?,3.17,False
rot_IMG-20260612-WA0243.jpg,PHOTOS MEDICAMENTS AUGMENTEES,URO / EAU POUR IRRIGATION,1.0,ocr_seul,?,0.0,URO / EAU POUR IRRIGATION,1.0,?,0.7,False
rot_1781527998551.jpg,PHOTOS MEDICAMENTS AUGMENTEES,"BC-F 8,4%",0.57,ocr_fallback,?,0.0,"BC-F 8,4%",0.57,?,3.63,False
bruit_IMG-20260612-WA0153.jpg,PHOTOS MEDICAMENTS AUGMENTEES,SAFLU 250 SB FL 120 DOSES,0.71,ocr_seul,?,0.0,SAFLU 250 SB FL 120 DOSES,0.71,?,0.94,False
orig_IMG-20260612-WA0259.jpg,PHOTOS MEDICAMENTS AUGMENTEES,DOLIPRANE,1.0,ocr_seul,BOX,0.618,DOLIPRANE,1.0,?,8.27,False
lum_IMG-20260612-WA0148.jpg,PHOTOS MEDICAMENTS AUGMENTEES,SPIRIVA,0.83,ocr_seul,BOX,0.746,SPIRIVA,0.83,?,1.01,False
rot_IMG-20260612-WA0091.jpg,PHOTOS MEDICAMENTS AUGMENTEES,D-CURE,0.71,ocr_seul,?,0.0,D-CURE,0.71,?,1.81,False
lum_IMG-20260613-WA0048.jpg,PHOTOS MEDICAMENTS AUGMENTEES,?,0.0,ocr_fallback,?,0.0,?,0.0,?,0.97,False
rot_IMG-20260614-WA0055.jpg,PHOTOS MEDICAMENTS AUGMENTEES,VITAIR,0.83,ocr_seul,?,0.0,VITAIR,0.83,?,4.62,False
orig_1781527997363.jpg,PHOTOS MEDICAMENTS AUGMENTEES,S-CORT 20 MG,0.8,ocr_seul,?,0.0,S-CORT 20 MG,0.8,?,3.5,False
lum_1781527999032.jpg,PHOTOS MEDICAMENTS AUGMENTEES,CETOLERG,0.75,ocr_seul,?,0.0,CETOLERG,0.75,?,3.44,False
lum_IMG-20260614-WA0006.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ALER-Z 7 CP (P),0.61,ocr_seul,?,0.0,ALER-Z 7 CP (P),0.61,1 g,1.31,False
bruit_IMG-20260612-WA0073.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ANDOL C B/10 (H),0.64,ocr_seul,?,0.0,ANDOL C B/10 (H),0.64,?,0.68,False
orig_IMG-20260612-WA0364.jpg,PHOTOS MEDICAMENTS AUGMENTEES,I3.1,0.86,ocr_seul,BOX,0.666,I3.1,0.86,?,2.4,False
rot_1781527998853.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ULTRA-LEVURE 250 /10 SACHETS (E),0.71,ocr_seul,?,0.0,ULTRA-LEVURE 250 /10 SACHETS (E),0.71,?,4.07,False
lum_IMG-20260614-WA0002.jpg,PHOTOS MEDICAMENTS AUGMENTEES,I3.1,0.75,ocr_seul,?,0.0,I3.1,0.75,?,3.03,False
orig_IMG-20260614-WA0039.jpg,PHOTOS MEDICAMENTS AUGMENTEES,OLMETEC,0.86,ocr_seul,BOX,0.756,OLMETEC,0.86,?,1.06,False
lum_1781527997008.jpg,PHOTOS MEDICAMENTS AUGMENTEES,ADO,0.8,ocr_seul,?,0.0,ADO,0.8,?,3.51,False
lum_1781527997344.jpg,PHOTOS MEDICAMENTS AUGMENTEES,?,0.0,ocr_fallback,?,0.0,?,0.0,?,2.82,False
bruit_1781527997104.jpg,PHOTOS MEDICAMENTS AUGMENTEES,?,0.0,ocr_fallback,?,0.0,?,0.0,?,3.34,False
bruit_1781268751710.jpg,PHOTOS MEDICAMENTS AUGMENTEES,LINKOFTAL 0.3%  SOL OPHTALMIQUE,0.8,ocr_seul,?,0.0,LINKOFTAL 0.3%  SOL OPHTALMIQUE,0.8,?,3.8,False
orig_IMG-20260612-WA0228.jpg,PHOTOS MEDICAMENTS AUGMENTEES,EXEMPLE 500MG,0.75,ocr_seul,BOX,0.789,EXEMPLE 500MG,0.75,5 %,6.76,False
lum_1781527996809.jpg,PHOTOS MEDICAMENTS AUGMENTEES,VENTOLINE,1.0,ocr_seul,?,0.0,VENTOLINE,1.0,200 mcg,3.5,False
rot_1781527998078.jpg,PHOTOS MEDICAMENTS AUGMENTEES,PZA,0.67,ocr_seul,?,0.0,PZA,0.67,?,3.83,False
lum_WhatsApp Image 2026-06-12 at 15.06.19 (5).jpeg,PHOTOS MEDICAMENTS AUGMENTEES,ANAFRANIL 25 MG /30 CP (2M),0.64,ocr_seul,?,0.0,ANAFRANIL 25 MG /30 CP (2M),0.64,?,1.12,False
rot_1781527998999.jpg,PHOTOS MEDICAMENTS AUGMENTEES,PROCLOR,0.86,ocr_seul,?,0.0,PROCLOR,0.86,5mg,3.23,False
orig_1781527996809.jpg,PHOTOS MEDICAMENTS AUGMENTEES,VENTOLINE,1.0,ocr_seul,?,0.0,VENTOLINE,1.0,200 mcg,3.23,False
lum_IMG-20260614-WA0028.jpg,PHOTOS MEDICAMENTS AUGMENTEES,KAMAGRA 50MG B/1 (CC) (R),0.73,ocr_seul,?,0.0,KAMAGRA 50MG B/1 (CC) (R),0.73,?,1.24,False
lum_IMG-20260612-WA0254.jpg,PHOTOS MEDICAMENTS AUGMENTEES,DOLI,1.0,ocr_seul,?,0.0,DOLI,1.0,?,3.25,False
bruit_1781527996543.jpg,PHOTOS MEDICAMENTS AUGMENTEES,O-LINE 10MG B/28,0.76,ocr_seul,?,0.0,O-LINE 10MG B/28,0.76,?,3.88,False
lum_IMG-20260614-WA0038.jpg,PHOTOS MEDICAMENTS AUGMENTEES,AMAREL,0.83,ocr_seul,?,0.0,AMAREL,0.83,?,2.08,False
rot_IMG-20260614-WA0045.jpg,PHOTOS MEDICAMENTS AUGMENTEES,OSPEN,0.8,ocr_seul,BOX,0.542,OSPEN,0.8,?,0.83,False
lum_IMG-20260612-WA0147.jpg,PHOTOS MEDICAMENTS AUGMENTEES,CRISTAL,1.0,ocr_seul,BOX,0.697,CRISTAL,1.0,156/18,2.98,False
bruit_IMG-20260612-WA0184.jpg,PHOTOS MEDICAMENTS AUGMENTEES,FEBREX,0.83,ocr_seul,?,0.0,FEBREX,0.83,?,2.25,False
bruit_1781527998337.jpg,PHOTOS MEDICAMENTS AUGMENTEES,LONSURF 20/8.19 BT 20 CP,0.86,ocr_seul,?,0.0,LONSURF 20/8.19 BT 20 CP,0.86,?,4.26,False
lum_IMG-20260612-WA0342.jpg,PHOTOS MEDICAMENTS AUGMENTEES,DOLIPRANE,0.89,ocr_seul,?,0.0,DOLIPRANE,0.89,?,2.4,False
lum_1781527997426.jpg,PHOTOS MEDICAMENTS AUGMENTEES,EXFORGE 5 MG/80 MG,1.0,ocr_seul,?,0.0,EXFORGE 5 MG/80 MG,1.0,?,3.1,False
rot_IMG-20260612-WA0344.jpg,PHOTOS MEDICAMENTS AUGMENTEES,PRAZOL,1.0,ocr_seul,?,0.0,PRAZOL,1.0,?,4.36,False
orig_1781527998196.jpg,PHOTOS MEDICAMENTS AUGMENTEES,SOLUPRED 20MG /20CP TVA 0% (P) (H),0.59,ocr_fallback,?,0.0,SOLUPRED 20MG /20CP TVA 0% (P) (H),0.59,?,3.62,False
lum_WhatsApp Image 2026-06-12 at 15.06.19 (2).jpeg,PHOTOS MEDICAMENTS AUGMENTEES,ATOPIX 10MG B/15 CP PELL. (P),0.73,ocr_seul,BOX,0.365,ATOPIX 10MG B/15 CP PELL. (P),0.73,?,0.97,False
rot_IMG-20260612-WA0278.jpg,PHOTOS MEDICAMENTS AUGMENTEES,EXEMPLE 500MG,0.75,ocr_seul,?,0.0,EXEMPLE 500MG,0.75,?,2.59,False
